# Derived from en-GB-x-rp.dict by Reece H. Dunn (Cainteoir Technologies)
# https://github.com/rhdunn/en-GB-x-rp.dict
# Copyright (C) 2017 Reece H. Dunn. BSD 2-clause license.
hurry	1 0
hushed	1
i	1
idea	0 1 0
if	1
ignoramus	2 0 1 0
ill	1
illimitable	0 1 0 0 0
illumined	0 1 0
image	1 0
imbedded	0 1 0
immediate	0 1 0 0
immediately	0 1 0 0 0
immolation	0 0 1 0
immortal	0 1 0
impatient	0 1 0
impeded	0 1 0
imperceptibly	0 0 1 0 0
imperial	0 1 0 0
impetuosity	0 2 0 1 0 0
implore	0 1
impose	0 1
imposed	0 1
impossible	0 1 0 0
imposture	0 1 0
improvisatori	2 0 2 0 1 0
impulse	1 0
impulses	1 0 0
impulsive	0 1 0
impune	0 1
impunity	0 1 0 0
in	1
incidents	1 0 0
incipient	0 1 0 0
increases	0 1 0
indeed	0 1
indefinite	0 1 0 0
indication	2 0 1 0
individual	2 0 1 0 0
individuals	2 0 1 0 0
indulged	0 1
ingress	1 0
injuries	1 0 0
inmost	1 0
inspired	0 1 0
instant	1 0
instantly	1 0 0
instruments	1 0 0
insufferably	0 1 0 0 0
insult	0 1
insure	0 1
intention	0 1 0
interest	1 0
interior	0 1 0 0
intermingling	2 0 1 0 0
interrupted	2 0 1 0
interruption	2 0 1 0
interval	1 0 0
into	1 0
intoxication	0 2 0 1 0
intruder	0 1 0
iron	1 0
irregularly	0 1 0 0 0
is	1
it	1
italian	0 1 0 0
italians	0 1 0 0
its	1
itself	0 1
j	1
jest	1
jests	1
jingled	1 0
jingling	1 0 0
joke	1
just	1
k	1
key	1
kill	1
kind	1
kit	1
knew	1
knights	1
knocked	1
know	1
l	1
labor	1 0
labour	1 0
labours	1 0
lacessit	0 1 0
laden	1 0
lady	1 0
laid	1
lamp	1
land	1
lapse	1
largely	1 0
last	1
lasted	1 0
late	1
lately	1 0
latter	1 0
lattice	1 0
laugh	1
laughed	1
laughter	1 0
lay	1
leaned	1
least	1
leave	1
led	1
leer	1
left	1
leisure	1 0
length	1
lenore	0 1
lent	1
less	1
let	1
letter	1 0
level	1 0
licence	1 0
lids	1
lie	1
lies	1
life	1
lifted	1 0
light	1
lighted	1 0
like	1
likeliness	1 0 0
limbs	1
lined	1
lining	1 0
linking	1 0
links	1
lips	1
little	1 0
live	1
living	1 0
lofty	1 0
lone	1
loneliness	1 0 0
lonely	1 0
long	1
longer	1 0
look	1
looked	1
looking	1 0
lord	1
lordly	1 0
lore	1
losing	1 0
lost	1
lot	1
loud	1
louder	1 0
loudly	1 0
love	1
loved	1
lovely	1 0
lover	1 0
loving	1 0
low	1
luchesi	0 1 0
luckily	1 0 0
lungs	1
lustre	1 0
m	1
mad	1
madam	1 0
maddening	1 0 0
made	1
madman	1 0
madness	1 0
magnificence	0 1 0 0
magnificent	0 1 0 0
maiden	1 0
main	1
make	1
man	1
manifold	1 0 2
manner	1 0
many	1 0
marvel	1 0
marvelled	1 0
mask	1
masked	1
maskers	1 0
mason	1 0
masonry	1 0 0
masons	1 0
masque	1
masquerade	1 0 2
masqueraders	1 0 2 0
massy	1 0
master	1 0
match	1
material	0 1 0 0
materially	0 1 0 0 0
materials	0 1 0 0
matter	1 0
matters	1 0
may	1
me	1
meaning	1 0
means	1
meant	1
meantime	1 0
measure	1 0
measured	1 0
meditation	2 0 1 0
meditations	2 0 1 0
medoc	1 0
meekly	1 0
melancholy	1 0 2 0
melted	1 0
memories	1 0 0
men	1
mere	1
merely	1 0
merrily	1 0 0
merry	1 0
met	1
methought	0 1
middle	1 0
midnight	1 0
mien	1
might	1
mighty	1 0
millionaires	2 0 0 1
mind	1
minute	1 0
minutes	1 0
missed	1
mistaken	0 1 0
moaning	1 0
mockery	1 0 0
modern	1 0
moisture	1 0
moment	1 0
momentarily	2 0 1 0 0
momentary	1 0 0 0
moments	1 0
monday	1 0
monday's	1 0
mondays	1 0
monotonous	0 1 0 0
month	1
montresor	0 1 0
montresors	0 1 0
moody	1 0
more	1
moresque	1
morning	1 0
morrow	1 0
mortal	1 0
mortals	1 0
mortar	1 0
moss	1
most	1
motionless	1 0 0
motley	1 0
motto	1 0
mould	1
mound	1
mouth	1
movable	1 0 0
moved	1
movement	1 0
mrs	1 0
much	1
muffled	1 0
multiform	1 0 2
multitude	1 0 2
mummer	1 0
murmur	1 0
murmured	1 0
music	1 0
musical	1 0 0
musicals	1 0 0
musicians	0 1 0
must	1
muttered	1 0
my	1
myself	0 1
mystery	1 0 0
n	1
name	1
nameless	1 0
napping	1 0
narrow	1 0
nature	1 0
near	1
nearer	1 0
nearly	1 0
necessary	1 0 0 0
neck	1
neither	1 0
nemo	1 0
nepenthe	0 1 0
nervousness	1 0 0
never	1 0
nevermore	2 0 1
nevertheless	2 0 0 1
new	1
news	1
newsletter	1 2 0
newsletter's	1 2 0
newsletters	1 2 0
next	1
niche	1
night	1
night's	1
nightly	1 0
ninth	1
nitre	1 0
no	1
noble	1 0
nodded	1 0
noise	1
none	1
nooks	1
nor	1
north	1
not	1
note	1
nothing	1 0
novel	1 0
now	1
number	1 0
numerous	1 0 0
nurse	1
o	1
o'er	1
obedient	0 1 0 0
obeisance	0 1 0
observe	0 1
observed	0 1
obstinate	1 0 0
occasion	0 1 0
of	1
off	1
offering	1 0 0
oh	1
old	1
ominous	1 0 0
on	1
once	1
one	1
only	1 0
open	1 0
opened	1 0
opportunity	0 0 1 0 0
opposite	1 0 0
or	1
orange	1 0
orbs	1
orchestra	1 0 0
orders	1 0
ordinary	1 0 0 0
ornamented	1 0 2 0
ornaments	1 0 0
other	1 0
our	1 0
ourselves	0 0 1
out	1
outpour	0 1
outreaching	0 1 0
oval	1 0
over	1 0
overhead	1 0 2
overtakes	2 0 1
own	1
p	1
pace	1
paces	1 0
padlock	1 0
pains	1
painted	1 0
painter	1 0
painting	1 0
paintings	1 0
palaces	1 0 0
palazzo	0 1 0
pale	1
pallas	1 0
pallet	1 0
pallid	1 0
palm	1
panes	1
paris	1 0
part	1
parti	1 0
partially	1 0 0
parting	1 0
party	1 0
pass	1
passed	1
passes	1 0
passionate	1 0 0
pause	1
paused	1
pay	1
peal	1
peculiar	0 1 0 0
peculiarities	0 2 0 1 0 0
pedro	1 0
peering	1 0
pendulum	1 0 0
perceive	0 1
perceived	0 1
percent	0 1
percentage	0 1 0
percentages	0 1 0 0
percentile	0 1 2
percentiles	0 1 2
percents	0 1
perception	0 1 0
perched	1
perforce	0 1
performance	0 1 0
perfumed	1 0
perhaps	0 1
permit	0 1
person	1 0
perusal	0 1 0
pervaded	0 1 0
pest	1
pestilence	1 0 0
phantasm	1 0 0
phantasms	1 0 0
picture	1 0
pictures	1 0
pile	1
piled	1
piles	1
pillow	1 0
pined	1
pipe	1
piquancy	1 0 0
placed	1
placid	1 0
plainly	1 0
plans	1
plastered	1 0
pleased	1
pleasure	1 0
plume	1
plutonian	0 1 0 0
poe	1
point	1
points	1
pondered	1 0
poor	1
pores	1
portion	1 0
portrait	1 0
portray	0 1
position	0 1 0
positively	1 0 2 0
possessed	0 1
posts	1
posture	1 0
power	1 0
practice	1 0
practise	1 0
precautions	0 1 0
precincts	1 0
precious	1 0
precluded	0 1 0
presence	1 0
presenting	0 1 0
presently	1 0 0
press	1
prevailing	0 1 0
prevented	0 1 0
price	1
prided	1 0
prince	1
prince's	1 0
proceed	0 1
proceeded	0 1 0
produce	0 1
produced	0 1
producing	0 1 0
profuse	0 1
profusion	0 1 0
progress	1 0
projected	0 1 0
promiscuously	0 1 0 0 0
proof	1
proper	1 0
prophet	1 0
propriety	0 1 0 0
prospero	1 0 2
prostrate	1 0
provided	0 1 0
provisioned	0 1 0
pry	1
puncheons	1 0
punish	1 0
purple	1 0
purported	0 1 0
pursued	0 1
pursuer	0 1 0
put	1
putting	1 0
q	1
quack	1
quaff	1
quaint	1
quantity	1 0 0
question	1 0
quieted	1 0 0
quit	1
quoth	1
r	1
radcliffe	1 0
radiant	1 0 0
rage	1
raged	1
raised	1
rampant	1 0
rampart	1 0
ran	1
rang	1
range	1
rapid	1 0
rapidly	1 0 0
rapier	1 0 0
rapping	1 0
rare	1
rarest	1 0
rather	1 0
raven	1 0
rays	1
re	1
reached	1
reaches	1 0
read	1
reapproached	2 0 1
reason	1 0
reassured	2 0 1
received	0 1
recess	0 1
recesses	0 1 0
reckless	1 0
reclining	0 1 0
recognizing	1 0 2 0
recoiling	0 1 0
recovered	0 1 0
red	1
reddened	1 0
redness	1 0
redresser	0 1 0
regard	0 1
regards	0 1
relevancy	1 0 0 0
remained	0 1
remaining	0 1 0
remains	0 1
remarkably	0 1 0 0
remember	0 1 0
remote	0 1
render	1 0
rendered	1 0
renown	0 1
repeated	0 1 0
repeating	0 1 0
replaced	0 1
replacing	0 1 0
replied	0 1
reply	0 1
repose	0 1
requesting	0 1 0
requiescat	2 0 1 0
resemblance	0 1 0
resemble	0 1 0
resign	0 1
resist	0 1
resolved	0 1
respect	0 1
respected	0 1 0
respite	1 0
responsible	0 1 0 0
rest	1
resumed	0 1
retired	0 1 0
retreating	0 1 0
retribution	2 0 1 0
return	0 1
revel	1 0
revelled	1 0
revellers	1 0 0
revenge	0 1
reverent	1 0 0
reveries	1 0 0
revery	1 0 0
rheum	1
rich	1
richly	1 0
right	1
ripening	1 0 0
risk	1
rival	1 0
river's	1 0
riveted	1 0 0
robust	0 1
rock	1
role	1
roof	1
room	1
rooms	1
roquelaire	2 0 1
route	1
row	1
ruddier	1 0 0
rudeness	1 0
rumour	1 0
rushed	1
rushing	1 0
rustling	1 0 0
s	1
sable	1 0
sad	1
sagacious	0 1 0
said	1
sainted	1 0
saintly	1 0
same	1
sat	1
sate	1
satisfaction	2 0 1 0
satisfied	1 0 2
satisfy	1 0 2
saturday	1 0 0
saturday's	1 0 0
saturdays	1 0 0
save	1
saw	1
scarce	1
scarcely	1 0
scarlet	1 0
scattered	1 0
scene	1
sconces	1 0
screams	1
scrutiny	1 0 0
sculptured	1 0
seal	1
search	1
season	1 0
seat	1
seclusion	0 1 0
second	1 0
seconds	1 0
secret	1 0
secure	0 1
security	0 1 0 0
sedate	0 1
see	1
seeing	1 0
seem	1
seemed	1
seeming	1 0
seen	1
seize	1
seized	1
seizing	1 0
seizure	1 0
sensation	0 1 0
senses	1 0
sent	1
separate	1 0 2
seraphim	1 0 0
serpent	1 0
set	1
settled	1 0
seven	1 0
seventh	1 0
several	1 0
severe	0 1
shade	1
shadow	1 0
shadows	1 0
shaken	1 0
shall	1
shame	1
sharp	1
shaven	1 0
she	1
sherry	1 0
shore	1
shorn	1
short	1
should	1
shoulders	1 0
shrank	1
shrieked	1
shrill	1
shrouded	1 0
shudder	1 0
shut	1
shutter	1 0
shutters	1 0
shutting	1 0
sick	1
side	1
sides	1
sign	1
silence	1 0
silent	1 0
silk	1
silken	1 0
silly	1 0
similar	1 0 0
since	1
sincere	0 1
single	1 0
sinking	1 0
sir	1
sitting	1 0
six	1
sixth	1
sixty	1 0
size	1
skillful	1 0
sleep	1
slide	1
slight	1
slow	1
slumber	1 0
slumbering	1 0 0
small	1
smallest	1 0
smile	1
smiled	1
smiles	1
smiling	1 0
so	1
sober	1 0
socket	1 0
solemn	1 0
solemnly	1 0 0
solid	1 0
some	1
something	1 0
songs	1
soon	1
sooth	1
sorrow	1 0
sought	1
soul	1
sound	1
sounded	1 0
sounding	1 0
spacious	1 0
sparkled	1 0
speak	1
speaker	1 0
speaking	1 0
spectral	1 0
spell	1
spirit	1 0
spirited	1 0 0
spirits	1 0
spite	1
spoke	1
spoken	1 0
spread	1
square	1
stained	1
stains	1
staircase	1 0
stalked	1
stand	1
stands	1
staples	1 0
start	1
startle	1 0
startled	1 0
startling	1 0 0
stately	1 0
stayed	1
stealing	1 0
step	1
stepped	1
steps	1
stern	1
stiff	1
stiffened	1 0
still	1
stillness	1 0
stir	1
stock	1
stone	1
stood	1
stopped	1
store	1
straight	1
stranger	1 0
stream	1
streamed	1
streaming	1 0
strength	1
stricken	1 0
strikes	1
striped	1
strode	1
strokes	1
strong	1
stronger	1 0
structure	1 0
struggled	1 0
strut	1
studious	1 0 0
stupidly	1 0 0
stupor	1 0
style	1
subdue	0 1
subdued	0 1
subsided	0 1 0
succeeded	0 1 0
succession	0 1 0
such	1
sudden	1 0
suddenly	1 0 0
suffered	1 0
sufficient	0 1 0
suit	1
suite	1
suites	1
sully	1 0
summoned	1 0
summoning	1 0 0
sumptuously	1 0 0 0
sunday	1 0
sunday's	1 0
sundays	1 0
sunk	1
sunrise	1 0
supports	0 1
suppose	0 1
supposed	0 1
supreme	0 1
surcease	1 0
sure	1
surely	1 0
surface	1 0
surfaces	1 0 0
surmounted	0 1 0
surpassed	0 1
surpassingly	0 1 0 0
surprise	0 1
sustain	0 1
swells	1
swung	1
syllable	1 0 0
sympathy	1 0 0
t	1
take	1
taking	1 0
tall	1
tangible	1 0 0
tapestries	1 0 0
tapestry	1 0 0
tapping	1 0
task	1
taste	1
tastes	1
tattered	1 0
technically	1 0 0
tell	1
tempest	1 0
temporarily	2 0 1 0 0
tempter	1 0
tenth	1
termed	1
termination	2 0 1 0
terrible	1 0 0
terror	1 0
terrors	1 0
than	1
that	1
the	1
thee	1
their	1
them	1
themselves	0 1
then	1
thence	1
there	1
thereat	0 1
these	1
they	1
thief	1
thing	1
things	1
think	1
thinking	1 0
third	1
thirty	1 0
this	1
those	1
thou	1
though	1
thought	1
thoughtful	1 0
thousand	1 0
threat	1
three	1
threw	1
thrilled	1
throat	1
throng	1
through	1
throughout	0 1
throw	1
throwing	1 0
thrown	1
throws	1
thrust	1
thursday	1 0
thursday's	1 0
thursdays	1 0
thus	1
thy	1
tier	1
tight	1
till	1
time	1
tinkled	1 0
tint	1
tinted	1 0
tints	1
tis	1
to	1
together	0 1 0
token	1 0
told	1
tongues	1
too	1
took	1
tool	1
torch	1
tossed	1
touch	1
touched	1
towards	0 1
trap	1
trembled	1 0
tremulous	1 0 0
tremulousness	1 0 0 0
trickle	1 0
tripod	1 0
tripods	1 0
trophies	1 0
trowel	1 0
true	1
truly	1 0
truth	1
tuesday	1 0
tuesday's	1 0
tuesdays	1 0
tufted	1 0
